scenario_id,nl_prompt,original_prompt,req_devices,req_triggers,req_actions,req_conditions,pre_completed,pre_exception,pre_bundle_name,pre_bundle_root,pre_ir_path,pre_puml_path,pre_validation_path,pre_layer5_path,pre_det_ok,pre_layer5_ok,pre_overall_valid,pre_structural_valid,pre_downstream_ready,pre_det_error_count,pre_det_warning_count,pre_det_schema_error_count,pre_layer5_issue_count,pre_layer5_error_count,pre_layer5_warning_count,pre_layer5_codes,pre_total_issue_count,pre_total_error_count,pre_state_count,pre_transition_count,pre_devices_required,pre_devices_present,pre_devices_coverage,pre_missing_devices,pre_triggers_required,pre_triggers_present,pre_triggers_coverage,pre_missing_triggers,pre_actions_required,pre_actions_present,pre_actions_coverage,pre_missing_actions,pre_overall_coverage,post_completed,post_exception,post_bundle_name,post_bundle_root,post_revision_dir,post_ir_path,post_puml_path,post_validation_path,post_layer5_path,post_summary_json_path,post_det_ok,post_layer5_ok,post_overall_valid,post_structural_valid,post_downstream_ready,post_det_error_count,post_det_warning_count,post_det_schema_error_count,post_layer5_issue_count,post_layer5_error_count,post_layer5_warning_count,post_layer5_codes,post_total_issue_count,post_total_error_count,post_state_count,post_transition_count,post_devices_required,post_devices_present,post_devices_coverage,post_missing_devices,post_triggers_required,post_triggers_present,post_triggers_coverage,post_missing_triggers,post_actions_required,post_actions_present,post_actions_coverage,post_missing_actions,post_overall_coverage,post_iterations_run,post_stop_reason,repair_effective,issues_removed,errors_removed,coverage_delta
S11,"If motion is detected by the Hallway Motion Sensor after sunset, then turn on the Hallway Light for 5 minutes.","If motion is detected by the front door sensor and it is after sunset, then turn on the porch light for 5 minutes.",motion_hall|light_hall,"becomes(motion_hall.motion,active)","command(light_hall,on)|delay(300)|command(light_hall,off)",time_after_sunset|duration(300s),True,,S11__primary,metrics_full_out_3\runs\primary\S11__primary,metrics_full_out_3\runs\primary\S11__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S11__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S11__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S11__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,2,2,2,2,1.0,,1,1,1.0,,3,2,0.6667,delay(300),0.8333,True,,S11__primary,metrics_full_out_3\runs\primary\S11__primary,metrics_full_out_3\runs\primary\S11__primary\edits\edit_001,metrics_full_out_3\runs\primary\S11__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S11__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S11__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S11__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S11__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,2,2,2,2,1.0,,1,1,1.0,,3,2,0.6667,delay(300),0.8333,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S12,"If the Front Door Contact Sensor stays open for more than 5 minutes, then turn off the Hallway Light.","If the front door is open for more than 5 minutes, then turn off the hallway light.",door_front|light_hall,"becomes(door_front.contact,open)","command(light_hall,off)",duration_gt(300s),True,,S12__primary,metrics_full_out_3\runs\primary\S12__primary,metrics_full_out_3\runs\primary\S12__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S12__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S12__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S12__primary\baseline\l5.validation_agent.json,False,True,False,False,False,1,0,1,0,0,0,,1,1,2,3,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S12__primary,metrics_full_out_3\runs\primary\S12__primary,metrics_full_out_3\runs\primary\S12__primary\edits\edit_001,metrics_full_out_3\runs\primary\S12__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S12__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S12__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S12__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S12__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,1,0,1,S420,1,0,2,1,2,2,1.0,,1,1,1.0,,1,0,0.0,"command(light_hall,off)",0.75,2,Converged (deterministic + agentic OK).,True,0,1,-0.25
S13,"If the Front Door Contact Sensor opens and User Presence is not present, then turn on the Hallway Light.","If the front door opens and the presence sensor is not detected, then turn on the hallway lights.",door_front|presence_user|light_hall,"becomes(door_front.contact,open)","command(light_hall,on)","eq(presence_user.presence,not present)",True,,S13__primary,metrics_full_out_3\runs\primary\S13__primary,metrics_full_out_3\runs\primary\S13__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S13__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S13__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S13__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,1,0,1,S420,1,0,2,1,3,3,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S13__primary,metrics_full_out_3\runs\primary\S13__primary,metrics_full_out_3\runs\primary\S13__primary\edits\edit_001,metrics_full_out_3\runs\primary\S13__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S13__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S13__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S13__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S13__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,1,0,1,S420,1,0,2,1,3,3,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S14,"If the Front Door Contact Sensor opens while Location Mode is set to Away, then send a notification to the homeowner.","If the front door contact sensor is opened and the mode is set to ""away,"" then send a notification to the homeowner's mobile phone.",door_front|location,"becomes(door_front.contact,open)",notify(),"eq(location.mode,Away)",True,,S14__primary,metrics_full_out_3\runs\primary\S14__primary,metrics_full_out_3\runs\primary\S14__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S14__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S14__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S14__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S14__primary,metrics_full_out_3\runs\primary\S14__primary,metrics_full_out_3\runs\primary\S14__primary\edits\edit_001,metrics_full_out_3\runs\primary\S14__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S14__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S14__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S14__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S14__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S15,"If the Front Door Lock becomes unlocked while Location Mode is set to Away, then send a notification to the homeowner.","If the front door is unlocked and the current location mode is ""Away,"" then send a notification to the homeowner's phone.",lock_front|location,"becomes(lock_front.lock,unlocked)",notify(),"eq(location.mode,Away)",True,,S15__primary,metrics_full_out_3\runs\primary\S15__primary,metrics_full_out_3\runs\primary\S15__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S15__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S15__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S15__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S15__primary,metrics_full_out_3\runs\primary\S15__primary,metrics_full_out_3\runs\primary\S15__primary\edits\edit_001,metrics_full_out_3\runs\primary\S15__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S15__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S15__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S15__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S15__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S16,"If the Front Door Contact Sensor opens while Location Mode is Away, then turn on the Main Alarm Siren and send a notification.","If the front door is opened while the alarm is set to away mode, then set off the siren and send a notification to the homeowner's phone.",door_front|location|alarm_main,"becomes(door_front.contact,open)","command(alarm_main,siren)|notify()","eq(location.mode,Away)",True,,S16__primary,metrics_full_out_3\runs\primary\S16__primary,metrics_full_out_3\runs\primary\S16__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S16__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S16__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S16__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,1,0,1,S420,1,0,2,1,3,3,1.0,,1,1,1.0,,2,2,1.0,,1.0,True,,S16__primary,metrics_full_out_3\runs\primary\S16__primary,metrics_full_out_3\runs\primary\S16__primary\edits\edit_001,metrics_full_out_3\runs\primary\S16__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S16__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S16__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S16__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S16__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,1,0,1,S420,1,0,2,1,3,3,1.0,,1,1,1.0,,2,2,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S17,"If User Presence becomes not present and Location Mode is set to Away, then turn off the Hallway Light and lock the Front Door Lock.","If everyone leaves the house and the location mode is set to 'Away', then turn off all lights and lock the front door.",presence_user|location|light_hall|lock_front,"becomes(presence_user.presence,not present)","command(light_hall,off)|command(lock_front,lock)","eq(location.mode,Away)",True,,S17__primary,metrics_full_out_3\runs\primary\S17__primary,metrics_full_out_3\runs\primary\S17__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S17__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S17__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S17__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,4,4,1.0,,1,1,1.0,,2,2,1.0,,1.0,True,,S17__primary,metrics_full_out_3\runs\primary\S17__primary,metrics_full_out_3\runs\primary\S17__primary\edits\edit_001,metrics_full_out_3\runs\primary\S17__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S17__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S17__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S17__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S17__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,4,4,1.0,,1,1,1.0,,2,2,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S18,"If the Front Door Lock remains unlocked for more than 5 minutes, then send a notification.","If the front door is unlocked for more than 5 minutes, then send an SMS to the homeowner alerting them of the issue.",lock_front,"becomes(lock_front.lock,unlocked)",notify(),duration_gt(300s),True,,S18__primary,metrics_full_out_3\runs\primary\S18__primary,metrics_full_out_3\runs\primary\S18__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S18__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S18__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S18__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,3,5,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,,S18__primary,metrics_full_out_3\runs\primary\S18__primary,metrics_full_out_3\runs\primary\S18__primary\edits\edit_001,metrics_full_out_3\runs\primary\S18__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S18__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S18__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S18__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S18__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,3,5,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S19,"If the Front Door Lock becomes unlocked and the time is 10:00 PM, then turn off the Hallway Light and lock the Front Door Lock.","If the front door is unlocked and it is 10 PM, then turn off all lights and lock the front door.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)","command(light_hall,off)|command(lock_front,lock)",time_at(22:00),True,,S19__primary,metrics_full_out_3\runs\primary\S19__primary,metrics_full_out_3\runs\primary\S19__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S19__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S19__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S19__primary\baseline\l5.validation_agent.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,2,2,1.0,,1.0,True,,S19__primary,metrics_full_out_3\runs\primary\S19__primary,metrics_full_out_3\runs\primary\S19__primary\edits\edit_001,metrics_full_out_3\runs\primary\S19__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S19__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S19__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S19__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S19__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,2,2,1.0,,1.0,1,Converged (deterministic + agentic OK).,False,0,0,0.0
S20,"If the Front Door Lock becomes unlocked after 9:00 PM, then turn on the Hallway Light and send a notification.","If the front door is unlocked after 9pm, then turn on the entryway light and send a notification.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)","command(light_hall,on)|notify()",time_after(21:00),True,,S20__primary,metrics_full_out_3\runs\primary\S20__primary,metrics_full_out_3\runs\primary\S20__primary\baseline\final.ir.json,metrics_full_out_3\runs\primary\S20__primary\baseline\final.puml,metrics_full_out_3\runs\primary\S20__primary\baseline\validation_report.json,metrics_full_out_3\runs\primary\S20__primary\baseline\l5.validation_agent.json,False,True,False,False,False,2,0,2,0,0,0,,2,2,1,1,2,2,1.0,,1,1,1.0,,2,2,1.0,,1.0,True,,S20__primary,metrics_full_out_3\runs\primary\S20__primary,metrics_full_out_3\runs\primary\S20__primary\edits\edit_001,metrics_full_out_3\runs\primary\S20__primary\edits\edit_001\final.ir.json,metrics_full_out_3\runs\primary\S20__primary\edits\edit_001\final.puml,metrics_full_out_3\runs\primary\S20__primary\edits\edit_001\validation_report.json,metrics_full_out_3\runs\primary\S20__primary\edits\edit_001\l5.validation_agent.json,metrics_full_out_3\runs\primary\S20__primary\edits\edit_001\summary.json,True,True,True,True,True,0,0,0,0,0,0,,0,0,1,1,2,2,1.0,,1,1,1.0,,2,2,1.0,,1.0,2,Converged (deterministic + agentic OK).,True,2,2,0.0
